"index","bt","k","d","su","sv","p","pet_smd_perc_non_conv","pet_tr_smd_perc_non_conv","peese_smd_perc_non_conv","peese_tr_smd_perc_non_conv","pet_int_smd_perc_z3","pet_int_tr_smd_perc_z3","pet_slope_smd_perc_z3","pet_slope_tr_smd_perc_z3","peese_int_smd_perc_z3","peese_int_tr_smd_perc_z3","peese_slope_smd_perc_z3","peese_slope_tr_smd_perc_z3","corrected_smd_perc_z3","corrected_tr_smd_smd_perc_z3"
142,"pb_no_orb_no",30,0.2,0.01,0.11,"small",0,0.4,0,0.9,0.7,0.8,0.7,0.8,0.7,0.81,0.8,0.81,0.3,0.5
143,"pb_no_orb_no",30,0.2,0.01,0.11,"medium",0,0.1,0,0.1,0.5,0.5,0.4,0.5,0.5,0.7,0.5,0.4,0.7,0.8
144,"pb_no_orb_no",30,0.2,0.01,0.11,"large",0,0,0,0,0.6,0.4,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
145,"pb_no_orb_no",30,0.2,0.06,0.01,"small",0,0,0,0,0.5,0.6,0.6,0.5,0.4,0.4,0.5,0.4,0.4,0.7
146,"pb_no_orb_no",30,0.2,0.06,0.01,"medium",0.1,0,0.1,0,0.3,0.7,0.2,0.6,0.5,0.4,0.5,0.7,0.5,0.7
147,"pb_no_orb_no",30,0.2,0.06,0.01,"large",0.1,0,0,0,0.4,0.2,0.6,0.5,0.6,0.3,0.5,0.6,0.6,0.5
148,"pb_no_orb_no",30,0.2,0.06,0.06,"small",0,0,0,0,0.7,0.9,0.6,0.8,0.8,0.8,0.6,0.8,0.5,0.9
149,"pb_no_orb_no",30,0.2,0.06,0.06,"medium",0,0,0,0,0.4,0.7,0.2,0.6,0.4,0.6,0.3,0.6,0.3,0.8
150,"pb_no_orb_no",30,0.2,0.06,0.06,"large",0,0,0,0,0.4,0.5,0.5,0.5,0.5,0.4,0.6,0.7,0.4,0.5
151,"pb_no_orb_no",30,0.2,0.06,0.11,"small",0,0.1,0,0.1,0.8,0.7,0.6,0.7,1,0.9,0.7,0.8,0.6,0.7
152,"pb_no_orb_no",30,0.2,0.06,0.11,"medium",0,0,0,0,0.5,0.8,0.3,0.6,0.3,0.6,0.2,0.7,0.6,0.8
153,"pb_no_orb_no",30,0.2,0.06,0.11,"large",0,0,0,0,0.4,0.6,0.6,0.6,0.5,0.5,0.5,0.7,0.4,0.3
154,"pb_no_orb_no",30,0.2,0.11,0.01,"small",0,0,0,0.1,0.7,0.5,0.6,0.4,0.4,0.4,0.5,0.5,0.3,0.6
155,"pb_no_orb_no",30,0.2,0.11,0.01,"medium",0.1,0,0.2,0,0.4,0.7,0.3,0.8,0.4,0.5,0.4,0.7,0.4,0.6
156,"pb_no_orb_no",30,0.2,0.11,0.01,"large",0,0,0.1,0,0.5,0.2,0.6,0.5,0.5,0.3,0.6,0.6,0.6,0.4
157,"pb_no_orb_no",30,0.2,0.11,0.06,"small",0,0,0,0,0.7,0.5,0.6,0.5,0.5,0.6,0.6,0.7,0.5,0.7
